A,211,13
Ca,190,8
Ca_LVAst,190,46
Cav2.1,78,5
Cav2.2,79,6
Cav2.3,82,7
Cav3.1,85,41
Cav3.3,87,42
HCN1,61,9
HCN2,62,10
HCN3,63,11
HCN4,64,12
Ih,206,14
Im,213,47
K,188,1
K,188,30
K,188,31
K,188,32
K.Pst,188,48
K.Tst,188,49
KdShu2007,188,50
Kir2.1,42,44
Kv1.1,1,18
Kv1.2,2,19
Kv1.3,3,38
Kv1.4,4,20
Kv1.5,5,21
Kv1.6,6,22
Kv2.1,9,23
Kv2.2,10,24
Kv3.1,11,25
Kv3.1,11,26
Kv3.1,11,27
Kv3.2,12,39
Kv3.3,13,28
Kv3.3,13,45
Kv3.4,14,29
Kv4.2,16,40
L,212,3
L,212,4
M,213,15
M,213,16
M,213,17
Na,189,2
Na,189,34
Na,189,35
Na,189,36
Na,189,37
NaTa_t,189,52
NaTs2_t,189,53
Nap_Et2,189,51
Nav1.3,122,43
Nav1.6,125,33
